NAME: WALL_FOLLOWING_ROBOT_2
NB_SAMPLES: 5456
NB_ATTRIBUTES: 2
0.867 0.486 2
0.870 0.485 2
0.869 0.485 2
0.740 0.484 2
0.740 0.483 2
0.861 0.482 2
0.859 0.480 2
0.857 0.478 2
0.853 0.477 2
0.850 0.475 2
0.852 0.474 2
0.852 0.472 2
0.851 0.470 2
0.854 0.467 2
0.857 0.465 2
0.873 0.462 2
1.491 0.460 1
1.202 0.458 1
1.201 0.456 1
1.200 0.455 1
1.198 0.454 1
1.198 0.455 1
1.198 0.455 1
1.197 0.456 1
1.198 0.456 1
1.191 0.457 1
1.186 0.458 1
1.567 0.459 1
1.208 0.461 1
1.553 0.462 1
1.191 0.464 1
1.535 0.465 1
1.528 0.466 1
1.519 0.468 1
1.512 0.470 1
1.416 0.471 1
1.522 0.473 1
1.475 0.476 1
1.487 0.478 1
1.473 0.480 1
1.472 0.483 1
1.459 0.486 1
1.462 0.489 1
1.340 0.491 1
1.335 0.494 1
1.421 0.497 0
1.421 0.500 0
1.414 0.504 0
1.404 0.507 0
1.393 0.511 0
1.381 0.515 0
1.368 0.520 0
1.353 0.526 0
1.309 0.531 0
1.293 0.538 0
1.273 0.545 0
1.287 0.551 0
1.269 0.559 0
1.220 0.566 0
1.202 0.574 0
1.183 0.581 0
1.165 0.589 0
1.143 0.597 0
1.128 0.604 0
1.106 0.612 0
1.090 0.619 0
1.068 0.627 0
1.049 0.635 0
1.030 0.642 0
1.012 0.650 0
0.994 0.657 0
0.975 0.664 0
0.957 0.672 0
0.942 0.679 0
1.173 0.686 0
1.160 0.695 0
1.148 0.702 0
1.139 0.707 0
1.128 0.702 0
1.126 0.704 0
1.473 0.710 0
1.454 0.713 0
1.434 0.719 0
1.412 0.726 0
1.063 0.733 0
1.050 0.741 0
1.040 0.748 0
1.030 0.756 0
1.021 0.763 0
1.011 0.771 0
0.642 0.778 2
0.622 0.786 2
0.606 0.793 2
0.589 0.801 2
0.574 0.805 2
0.559 0.807 2
0.547 0.797 2
0.541 0.786 2
0.549 0.784 2
0.983 0.780 0
0.984 0.780 0
0.983 0.780 0
0.983 0.780 0
0.981 0.780 0
0.980 0.780 0
0.979 0.779 0
0.978 0.779 0
0.978 0.779 0
0.977 0.779 0
0.976 0.778 0
0.974 0.778 0
0.972 0.777 0
0.968 0.777 0
0.961 0.776 0
0.952 0.775 0
0.937 0.773 0
0.924 0.775 0
0.910 0.774 0
0.895 0.773 2
0.880 0.779 2
0.864 0.779 2
0.847 0.779 2
0.832 0.778 2
0.817 0.775 2
0.804 0.771 2
0.793 0.771 2
0.792 0.769 2
0.789 0.768 2
0.791 0.767 2
0.792 0.766 2
0.792 0.766 2
0.792 0.765 2
0.791 0.765 2
0.790 0.764 2
0.791 0.766 2
0.790 0.766 2
0.790 0.769 2
0.789 0.872 2
0.789 0.870 2
0.789 0.865 2
0.788 0.772 2
0.787 0.759 2
0.786 0.753 2
0.785 0.751 2
0.785 0.749 2
0.784 0.746 2
0.787 0.744 2
1.815 0.746 0
0.810 0.381 2
0.789 0.376 2
0.785 0.374 2
0.785 0.374 2
0.785 0.373 2
0.785 0.373 2
0.785 0.372 2
0.785 0.372 2
0.785 0.371 2
0.788 0.370 2
0.788 0.370 2
0.788 0.372 2
0.791 0.751 2
0.798 0.743 2
0.811 0.836 2
1.824 0.835 0
1.821 0.371 1
1.817 0.363 1
1.816 0.357 1
1.814 0.357 1
1.813 0.357 1
1.813 0.357 1
1.810 0.357 1
1.810 0.356 1
1.810 0.356 1
0.963 0.356 1
1.810 0.356 1
0.957 0.357 1
1.799 0.357 1
0.937 0.358 1
0.930 0.362 1
0.919 0.747 0
0.912 0.746 0
0.905 0.742 0
0.900 0.738 2
0.898 0.734 2
1.727 0.383 1
2.715 0.374 1
2.094 0.374 1
2.693 0.378 1
2.681 0.386 1
2.670 0.700 0
2.660 0.697 0
2.651 0.693 0
2.644 0.690 0
2.634 0.687 0
2.622 0.683 0
2.618 0.680 0
2.595 0.676 0
1.567 0.672 0
1.557 0.668 0
1.537 0.664 0
2.528 0.660 0
1.499 0.655 0
1.478 0.651 0
1.459 0.647 0
1.441 0.538 0
1.422 0.640 0
1.407 0.636 0
1.388 0.632 0
1.369 0.628 0
1.350 0.624 0
1.331 0.620 0
1.309 0.616 0
1.294 0.612 0
1.275 0.608 0
2.249 0.604 0
2.230 0.599 0
2.210 0.595 0
2.191 0.589 0
2.171 0.585 0
2.151 0.583 0
2.131 0.580 0
2.111 0.576 0
2.092 0.572 0
2.072 0.568 0
2.053 0.564 0
2.034 0.561 0
2.014 0.557 0
1.994 0.553 0
1.975 0.549 0
1.955 0.545 0
1.935 0.541 0
1.916 0.537 0
1.897 0.533 0
1.878 0.530 0
1.859 0.526 0
1.840 0.522 0
1.822 0.518 0
0.584 0.515 2
0.577 0.511 2
0.577 0.507 2
0.573 0.504 2
0.790 0.500 2
0.777 0.497 2
0.765 0.494 2
0.760 0.491 2
0.761 0.490 2
0.769 0.490 2
0.770 0.489 2
0.773 0.490 2
0.773 0.489 2
0.770 0.489 2
0.773 0.488 2
1.501 0.487 1
1.495 0.487 1
1.494 0.486 1
1.491 0.485 1
1.496 0.485 1
1.702 0.485 1
1.492 0.485 1
1.491 0.485 1
1.492 0.485 1
1.694 0.484 1
1.689 0.483 1
1.682 0.483 1
1.675 0.482 1
1.666 0.481 1
1.656 0.480 1
0.583 0.479 2
1.635 0.478 1
1.624 0.478 1
1.613 0.478 1
1.603 0.477 1
1.593 0.477 1
1.584 0.478 1
1.575 0.477 1
1.567 0.478 1
1.559 0.478 1
1.550 0.478 1
1.541 0.479 1
1.531 0.480 1
1.521 0.480 1
1.511 0.481 1
1.316 0.482 1
1.304 0.483 1
1.296 0.484 1
1.291 0.485 1
1.283 0.486 1
1.278 0.487 1
1.273 0.488 1
1.432 0.490 1
1.422 0.491 1
1.412 0.493 1
1.402 0.494 1
1.392 0.496 0
1.382 0.498 0
1.372 0.499 0
1.361 0.501 0
1.349 0.503 0
1.336 0.506 0
1.322 0.509 0
1.308 0.513 0
1.292 0.516 0
1.275 0.521 0
1.259 0.526 0
1.241 0.531 0
1.223 0.536 0
1.205 0.541 0
1.186 0.547 0
1.168 0.553 0
1.150 0.559 0
1.131 0.565 0
1.113 0.571 0
1.094 0.578 0
1.075 0.584 0
1.056 0.591 0
1.037 0.597 0
1.018 0.604 0
0.998 0.608 0
0.979 0.615 0
0.959 0.623 0
0.940 0.631 0
0.923 0.638 0
0.904 0.645 0
0.882 0.652 2
0.864 0.658 2
0.846 0.665 2
0.827 0.671 2
0.809 0.678 2
0.792 0.684 2
0.776 0.689 2
0.767 0.690 2
0.767 0.687 2
0.769 0.686 2
0.770 0.685 2
0.770 0.685 2
0.769 0.685 2
0.769 0.684 2
0.769 0.684 2
0.769 0.683 2
0.768 0.683 2
0.768 0.682 2
0.768 0.681 2
0.769 0.680 2
0.765 0.682 2
0.763 0.684 2
0.762 0.683 2
0.761 0.681 2
0.760 0.677 2
0.759 0.676 2
0.758 0.679 2
0.757 0.679 2
0.756 0.682 2
0.755 0.689 2
0.762 0.720 2
0.769 0.783 2
0.772 0.685 2
0.758 0.779 2
0.758 0.779 2
0.758 0.776 2
0.761 0.851 2
0.764 0.713 2
0.768 0.753 2
1.566 0.749 0
1.567 0.745 0
1.568 0.711 0
1.570 0.741 0
1.572 0.740 0
1.567 0.742 0
1.560 0.724 0
1.551 0.734 0
1.540 0.726 0
1.527 0.720 0
1.513 0.714 0
1.497 0.707 0
1.481 0.700 0
1.464 0.693 0
1.447 0.686 0
1.429 0.678 0
1.411 0.671 0
1.392 0.664 0
1.374 0.656 0
1.355 0.648 0
1.335 0.644 0
1.316 0.638 0
1.297 0.630 0
1.278 0.624 0
1.262 0.617 0
1.240 0.610 0
1.223 0.604 0
1.200 0.597 0
1.180 0.587 0
1.161 0.580 0
1.141 0.574 0
1.121 0.566 0
1.102 0.562 0
1.083 0.556 0
1.065 0.549 0
1.046 0.543 0
1.028 0.537 0
1.010 0.530 0
0.992 0.524 0
0.974 0.517 0
0.956 0.512 0
0.938 0.505 0
0.690 0.498 2
0.671 0.489 2
0.619 0.483 2
0.607 0.477 2
0.593 0.473 2
0.580 0.465 2
0.568 0.462 2
0.821 0.462 2
0.824 0.458 2
0.826 0.455 2
0.825 0.454 2
0.825 0.454 2
0.825 0.453 2
0.822 0.452 2
0.507 0.452 2
0.507 0.451 2
0.507 0.451 2
0.508 0.450 2
0.508 0.450 2
0.508 0.449 2
0.508 0.448 2
0.508 0.448 2
0.512 0.447 2
0.823 0.447 2
0.823 0.446 2
0.823 0.445 2
0.823 0.443 2
0.823 0.438 2
0.824 0.440 2
0.824 0.438 2
0.829 0.436 2
0.830 0.435 2
0.829 0.433 2
0.826 0.431 2
0.826 0.428 2
0.825 0.426 2
0.825 0.423 2
0.825 0.421 2
0.828 0.419 2
0.828 0.417 2
0.829 0.416 2
0.831 0.414 2
0.826 0.411 2
0.825 0.408 2
0.824 0.405 2
0.820 0.403 2
0.820 0.400 2
0.822 0.399 2
0.821 0.397 2
0.824 0.396 2
0.824 0.395 2
0.819 0.407 2
0.813 0.399 2
0.811 0.395 2
0.810 0.393 2
0.805 0.393 2
0.808 0.396 2
0.806 0.423 2
0.809 0.431 2
0.811 0.435 2
0.904 0.403 1
0.804 0.404 2
0.803 0.405 2
0.802 0.427 2
0.802 0.431 2
0.805 0.478 2
0.802 0.477 2
0.805 0.477 2
0.805 0.479 2
0.805 0.479 2
0.808 0.478 2
0.822 0.490 2
0.825 0.937 2
3.338 0.423 1
3.335 0.424 1
3.335 0.425 1
3.335 0.422 1
3.335 0.425 1
3.335 0.422 1
3.335 0.425 1
3.335 0.425 1
3.335 0.425 1
3.334 0.427 1
2.935 0.426 1
2.923 0.431 1
3.322 0.436 1
3.316 0.443 1
3.309 0.454 1
3.301 0.463 1
3.290 0.479 1
3.281 0.761 0
3.273 0.756 0
3.267 0.751 0
3.258 0.747 0
3.250 0.746 0
3.237 0.741 0
3.220 0.735 0
3.205 0.729 0
3.189 0.723 0
3.172 0.716 0
3.160 0.713 0
3.138 0.706 0
3.082 0.710 0
0.940 0.694 0
0.940 0.694 0
3.023 0.684 0
3.001 0.682 0
2.981 0.656 0
2.965 0.646 0
2.659 0.650 0
2.641 0.634 0
2.651 0.625 0
2.885 0.623 0
2.866 0.614 0
2.581 0.613 0
2.828 0.607 0
2.549 0.599 0
2.544 0.597 0
2.505 0.593 0
2.471 0.589 0
2.466 0.589 0
2.715 0.587 0
2.696 0.585 0
2.281 0.606 0
2.261 0.598 0
2.248 0.593 0
2.630 0.584 0
2.604 0.597 0
2.585 0.574 0
2.565 0.568 0
2.546 0.559 0
2.527 0.553 0
2.508 0.547 0
2.486 0.540 0
2.468 0.534 0
2.448 0.528 0
2.432 0.520 0
2.410 0.518 0
2.394 0.525 0
2.372 0.501 0
2.353 0.497 0
2.338 0.491 1
2.316 0.481 1
2.297 0.476 1
1.914 0.471 1
1.889 0.464 1
1.877 0.463 1
2.225 0.461 1
2.209 0.460 1
2.194 0.461 1
2.180 0.458 1
2.166 0.457 1
1.877 0.515 0
1.879 0.474 1
2.130 0.471 1
2.120 0.467 1
1.838 0.460 1
1.827 0.460 1
2.090 0.464 1
2.081 0.458 1
1.840 0.458 1
1.832 0.468 1
1.791 0.567 0
1.780 0.598 0
1.776 0.537 0
1.839 0.562 0
2.025 0.578 0
2.011 3.134 3
2.000 0.515 0
1.987 0.489 1
1.974 0.495 0
1.960 1.434 3
1.945 1.426 3
1.930 1.422 3
1.914 1.415 3
1.897 1.413 3
1.881 1.407 3
1.865 1.406 3
1.848 1.404 3
1.831 1.402 3
1.815 1.403 3
1.798 1.398 3
1.781 1.396 3
1.764 1.397 3
1.748 1.395 3
1.732 1.393 3
1.647 1.394 3
1.631 1.406 3
1.628 1.405 3
1.612 1.390 3
1.596 1.388 3
1.557 1.387 3
1.559 1.386 3
1.581 1.387 3
1.463 0.715 0
1.458 0.709 0
1.370 0.723 0
1.367 0.724 0
1.429 0.730 0
1.417 0.798 0
1.347 0.848 0
1.332 2.171 3
1.323 2.177 3
1.312 2.185 3
1.300 2.197 3
1.284 2.208 3
1.274 2.224 3
1.261 2.233 3
1.251 2.241 3
1.242 2.252 3
1.226 2.261 3
1.213 2.267 3
1.197 0.862 0
1.182 2.282 3
1.170 0.868 0
1.158 2.295 3
1.144 2.302 3
1.133 0.819 0
1.118 0.821 0
1.103 0.824 0
1.089 0.826 0
1.074 0.828 0
1.059 0.830 0
1.042 0.828 0
1.025 0.823 0
1.007 0.797 0
0.985 0.792 0
0.967 0.795 0
0.947 0.794 0
0.928 0.797 0
0.908 0.800 0
0.889 0.804 2
0.869 0.808 2
0.849 0.812 2
0.830 0.813 2
0.811 0.817 2
0.793 0.822 2
0.780 0.824 2
0.778 0.825 2
0.784 0.823 2
0.785 0.819 2
0.786 0.819 2
0.786 0.818 2
0.786 0.817 2
0.785 0.817 2
0.785 0.816 2
0.785 0.816 2
0.785 0.815 2
0.785 0.814 2
0.784 0.813 2
0.780 0.812 2
0.780 0.811 2
0.779 0.810 2
0.779 0.808 2
0.778 0.807 2
0.777 0.805 2
0.780 0.808 2
0.779 0.813 2
0.779 0.825 2
0.779 0.817 2
0.778 0.812 2
0.776 0.808 2
0.771 0.803 2
0.770 0.803 2
0.769 0.802 2
0.768 0.828 2
0.767 0.878 2
0.769 0.863 2
0.769 0.871 2
0.769 0.820 2
0.778 0.800 2
0.803 0.792 2
0.774 0.789 2
0.767 0.788 2
0.766 0.782 2
0.769 0.791 2
0.776 0.767 2
0.831 0.761 2
0.792 0.758 2
0.854 0.755 2
0.894 0.755 2
1.182 0.752 0
0.892 0.746 2
1.346 0.743 0
1.349 0.741 0
1.349 0.737 0
1.348 0.737 0
1.346 0.741 0
1.342 0.737 0
1.340 0.740 0
1.339 0.736 0
1.338 0.735 0
1.341 0.738 0
1.337 0.738 0
1.340 0.738 0
1.336 0.738 0
1.332 0.741 0
1.325 0.740 0
1.316 0.732 0
1.305 0.742 0
1.292 0.726 0
1.278 0.720 0
1.265 0.714 0
1.248 0.708 0
1.231 0.705 0
1.213 0.698 0
1.195 0.692 0
1.176 0.702 0
1.157 0.681 0
1.138 0.680 0
1.119 0.682 0
1.100 0.722 0
0.943 0.654 0
0.923 0.650 0
0.899 0.641 2
0.881 0.669 2
0.864 0.627 2
0.847 0.623 2
0.830 0.619 2
0.816 0.613 2
0.803 0.601 2
0.818 0.589 2
0.917 0.586 0
0.920 0.586 0
0.921 0.586 0
0.921 0.586 0
0.919 0.586 0
0.917 0.585 0
0.915 0.584 0
0.913 0.584 0
0.912 0.584 0
0.911 0.584 0
0.910 0.583 0
0.908 0.583 0
0.907 0.582 0
0.906 0.582 0
0.904 0.581 0
0.902 0.581 0
0.900 0.581 2
0.899 0.581 2
0.898 0.580 2
0.897 0.580 2
0.896 0.579 2
0.895 0.579 2
0.895 0.578 2
0.895 0.578 2
0.896 0.577 2
0.896 0.576 2
0.896 0.575 2
0.896 0.574 2
0.897 0.572 2
0.897 0.570 2
0.898 0.569 2
0.899 0.567 2
0.900 0.566 2
0.899 0.564 2
0.898 0.563 2
0.897 0.560 2
0.897 0.557 2
0.896 0.555 2
0.896 0.553 2
0.896 0.551 2
0.896 0.549 2
0.896 0.548 2
0.895 0.546 2
0.894 0.544 2
0.893 0.541 2
0.892 0.538 2
0.891 0.535 2
0.891 0.533 2
0.891 0.532 2
0.894 0.530 2
0.894 0.529 2
0.892 0.530 2
0.887 0.524 2
0.886 0.526 2
0.884 0.532 2
0.882 0.531 2
0.881 0.527 2
0.880 0.527 2
0.880 0.526 2
0.879 0.526 2
0.882 0.535 2
0.881 0.914 2
1.325 0.907 3
1.761 0.902 3
0.880 0.708 2
0.879 0.699 2
0.878 0.696 2
0.878 0.697 2
0.878 0.700 2
0.878 0.695 2
0.878 0.694 2
0.881 0.693 2
0.881 0.692 2
0.887 0.691 2
0.888 0.690 2
0.891 0.692 2
0.904 0.711 0
1.744 0.541 0
1.750 0.542 0
1.753 0.867 0
1.751 0.867 0
1.745 0.551 0
1.741 0.863 0
1.732 0.567 0
1.721 0.571 0
1.707 0.583 0
0.960 0.842 0
1.677 0.835 0
0.975 0.827 0
1.642 0.819 0
1.627 0.811 0
0.948 0.802 0
0.887 0.794 2
0.923 0.714 0
0.866 0.774 2
0.873 0.768 2
0.851 0.759 2
0.837 0.751 2
0.824 0.742 2
0.817 0.735 2
1.459 0.725 0
0.863 0.722 2
1.462 0.722 0
1.462 0.723 0
1.460 0.722 0
1.459 0.721 0
1.458 0.721 0
1.457 0.720 0
1.456 0.719 0
1.454 0.719 0
1.453 0.719 0
0.921 0.718 0
0.920 0.718 0
0.914 0.717 0
0.912 0.716 0
0.913 0.714 0
1.436 0.711 0
1.428 0.707 0
1.417 0.702 0
1.407 0.697 0
1.392 0.691 0
1.376 0.685 0
1.359 0.678 0
1.341 0.670 0
1.325 0.663 0
0.819 0.656 2
1.284 0.649 0
1.264 0.641 0
1.247 0.633 0
1.225 0.625 0
1.205 0.617 0
1.187 0.610 0
1.166 0.602 0
1.149 0.595 0
1.132 0.589 0
1.115 0.582 0
1.098 0.575 0
1.078 0.568 0
1.064 0.562 0
0.733 0.555 2
0.715 0.550 2
1.010 0.543 0
0.992 0.540 0
0.689 0.530 2
0.712 0.524 2
0.692 0.516 2
0.676 0.512 2
0.651 0.515 2
0.693 0.498 2
0.712 0.496 2
0.910 0.495 0
0.907 0.495 0
0.906 0.494 1
0.905 0.494 1
0.904 0.493 1
0.900 0.491 2
0.772 0.488 2
0.766 0.486 2
0.885 0.484 2
0.878 0.482 2
0.874 0.480 2
0.866 0.478 2
0.863 0.477 2
0.860 0.476 2
0.860 0.475 2
0.859 0.474 2
0.857 0.473 2
0.856 0.472 2
0.855 0.472 2
0.852 0.471 2
0.851 0.471 2
0.848 0.469 2
0.850 0.468 2
0.846 0.466 2
0.848 0.464 2
0.851 0.461 2
0.850 0.459 2
0.853 0.457 2
1.493 0.455 1
1.492 0.453 1
1.200 0.451 1
1.199 0.449 1
1.197 0.448 1
1.196 0.448 1
1.195 0.448 1
1.195 0.448 1
1.196 0.448 1
1.195 0.448 1
1.195 0.448 1
1.194 0.448 1
1.193 0.449 1
1.191 0.449 1
1.191 0.450 1
1.190 0.451 1
1.570 0.453 1
1.206 0.454 1
1.558 0.455 1
1.549 0.456 1
1.540 0.457 1
1.534 0.459 1
1.553 0.461 1
1.540 0.463 1
1.504 0.466 1
1.493 0.468 1
1.476 0.471 1
1.467 0.474 1
1.488 0.476 1
1.463 0.479 1
1.468 0.482 1
1.459 0.485 1
1.424 0.488 1
1.414 0.491 1
1.428 0.494 1
1.418 0.498 0
1.380 0.502 0
1.370 0.505 0
1.360 0.509 0
1.347 0.513 0
1.338 0.519 0
1.325 0.525 0
1.310 0.532 0
1.295 0.540 0
1.279 0.548 0
1.297 0.556 0
1.284 0.564 0
1.270 0.574 0
1.257 0.582 0
1.374 0.591 0
1.364 0.601 0
1.351 0.610 0
1.341 0.619 0
1.329 0.628 0
1.319 0.638 0
1.310 0.647 0
1.301 0.657 0
1.292 0.666 0
1.511 0.676 0
1.495 0.685 0
1.476 0.698 0
1.451 0.705 0
1.434 0.715 0
1.419 0.724 0
0.940 0.727 0
0.917 0.730 0
0.897 0.736 2
0.878 0.743 2
0.862 0.750 2
0.846 0.757 2
0.831 0.765 2
0.816 0.769 2
0.804 0.779 2
0.795 0.783 2
0.794 0.782 2
0.799 0.780 2
0.799 0.780 2
0.799 0.783 2
0.799 0.782 2
0.803 0.786 2
1.257 0.785 0
1.257 0.788 0
1.264 0.811 0
1.273 0.807 0
1.415 0.812 0
1.275 0.817 0
1.273 0.820 0
1.400 0.828 0
1.389 0.802 0
1.223 0.806 0
1.362 0.814 0
1.190 0.827 0
1.172 0.837 0
1.156 0.850 0
1.137 0.868 0
1.122 0.875 0
1.106 0.900 0
1.086 0.899 0
1.070 0.904 3
1.052 0.904 3
1.036 0.908 3
1.018 0.908 3
1.001 0.906 3
0.983 0.910 3
0.967 0.946 3
0.954 0.988 3
0.938 0.911 3
0.922 0.909 3
0.907 0.911 3
0.892 0.912 2
0.878 0.914 2
0.861 0.919 2
0.849 0.918 2
0.837 0.920 2
0.827 0.922 2
0.825 0.921 2
0.827 0.916 2
0.829 0.914 2
0.829 0.914 2
0.829 0.914 2
0.829 0.914 2
0.828 0.913 2
0.831 0.912 2
0.831 0.911 2
0.826 0.897 2
0.825 0.897 2
0.823 0.893 2
0.821 0.888 2
0.820 1.001 2
0.819 0.904 2
0.817 0.897 2
0.816 0.499 2
0.816 0.489 2
0.815 0.484 2
0.817 0.482 2
0.858 0.483 2
0.860 0.502 2
0.818 0.837 2
0.817 0.833 2
0.817 0.482 2
0.820 0.472 2
0.827 0.469 2
0.844 0.467 2
0.917 0.468 1
0.916 0.802 0
0.925 0.799 0
1.713 0.796 0
1.713 0.795 0
1.711 0.795 0
1.705 0.795 0
1.699 0.793 0
1.689 0.789 0
1.681 0.785 0
1.668 0.481 1
1.653 0.476 1
1.636 0.478 1
1.616 0.484 1
1.603 0.487 1
1.586 0.497 0
1.571 0.507 0
1.556 0.736 0
1.552 0.731 0
1.555 0.726 0
2.482 0.720 0
2.468 0.714 0
2.453 0.709 0
2.437 0.577 0
2.421 0.571 0
2.404 0.580 0
2.386 0.598 0
2.371 0.604 0
2.352 0.616 0
2.334 0.629 0
2.315 0.642 0
2.296 0.648 0
2.277 0.641 0
2.258 0.634 0
2.240 0.626 0
2.221 0.621 0
2.002 0.616 0
1.985 0.606 0
1.965 0.601 0
1.944 0.591 0
1.924 0.585 0
1.900 0.580 0
1.880 0.571 0
1.098 0.565 0
1.076 0.558 0
1.054 0.552 0
1.032 0.545 0
1.007 0.539 0
0.991 0.534 0
0.969 0.528 0
0.950 0.518 0
0.932 0.514 0
0.913 0.505 0
0.896 0.501 2
0.878 0.495 2
0.861 0.488 2
0.843 0.481 2
0.826 0.475 2
0.810 0.472 2
1.553 0.466 1
1.542 0.458 1
1.543 0.453 1
1.545 0.453 1
1.544 0.453 1
1.542 0.453 1
1.541 0.452 1
1.541 0.452 1
1.540 0.452 1
1.541 0.452 1
1.541 0.452 1
1.540 0.452 1
1.540 0.452 1
1.540 0.452 1
1.539 0.451 1
1.537 0.451 1
0.504 0.449 2
0.503 0.447 2
0.501 0.445 2
0.500 0.442 2
0.495 0.439 2
0.497 0.437 2
0.496 0.435 2
0.496 0.433 2
0.747 0.432 2
0.744 0.432 2
0.745 0.432 2
0.742 0.431 2
0.742 0.431 2
0.742 0.427 2
0.741 0.426 2
0.741 0.425 2
0.738 0.427 2
0.738 0.426 2
0.738 0.426 2
0.741 0.426 2
0.740 0.425 2
0.743 0.424 2
1.493 0.423 1
1.496 0.422 1
1.732 0.420 1
1.731 0.418 1
1.731 0.418 1
1.731 0.418 1
1.732 0.418 1
1.731 0.418 1
1.731 0.418 1
1.731 0.418 1
1.731 0.418 1
1.731 0.418 1
1.731 0.418 1
1.729 0.418 1
1.726 0.418 1
1.721 0.417 1
1.714 0.417 1
1.707 0.416 1
1.698 0.416 1
1.689 0.416 1
1.679 0.416 1
1.668 0.416 1
1.657 0.416 1
1.647 0.416 1
1.636 0.417 1
1.411 0.418 1
1.615 0.420 1
1.604 0.421 1
1.594 0.422 1
1.584 0.423 1
1.360 0.425 1
1.348 0.426 1
1.340 0.428 1
1.331 0.429 1
1.323 0.431 1
1.314 0.433 1
1.305 0.435 1
1.298 0.437 1
1.289 0.439 1
1.285 0.441 1
1.473 0.443 1
1.463 0.445 1
1.452 0.447 1
1.442 0.449 1
1.432 0.451 1
1.422 0.453 1
1.411 0.455 1
1.401 0.458 1
1.391 0.460 1
1.381 0.462 1
1.371 0.465 1
